                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.71469,                0.55052,                 1.1631,                0.87401,                0.86143,                0.91585,                0.73187,                0.81422,                0.62542,                 1.2756,              0.0003466,              0.0003466,              0.0003466
                     68,                0.71288,                0.54243,                 1.1697,                0.90136,                0.82058,                0.90676,                0.72873,                0.81222,                0.62823,                 1.2803,              0.0003367,              0.0003367,              0.0003367
                     69,                0.70235,                0.53366,                 1.1561,                0.89985,                 0.8447,                0.91475,                0.73256,                0.82552,                0.61326,                 1.2798,              0.0003268,              0.0003268,              0.0003268
                     70,                0.69871,                0.52747,                 1.1551,                0.87667,                0.85857,                0.89244,                0.72079,                0.82955,                0.64134,                 1.2872,              0.0003169,              0.0003169,              0.0003169
                     71,                0.70303,                0.53187,                  1.156,                0.87719,                0.85263,                0.89153,                0.71583,                0.83156,                0.64766,                 1.2879,               0.000307,               0.000307,               0.000307
                     72,                0.69021,                0.52423,                 1.1506,                0.89548,                0.80938,                 0.9002,                0.72133,                0.81858,                0.66468,                 1.2652,              0.0002971,              0.0002971,              0.0002971
                     73,                0.68815,                0.52398,                 1.1514,                0.87498,                 0.8447,                0.89285,                0.71633,                0.81832,                0.64091,                  1.277,              0.0002872,              0.0002872,              0.0002872
                     74,                0.68841,                0.51269,                 1.1469,                0.88455,                0.86491,                 0.9024,                0.72224,                 0.8117,                0.59372,                 1.2754,              0.0002773,              0.0002773,              0.0002773
                     75,                0.66871,                0.50187,                 1.1386,                0.88623,                0.84137,                0.90193,                0.72435,                0.81693,                0.62163,                 1.2652,              0.0002674,              0.0002674,              0.0002674
                     76,                0.67523,                0.50756,                 1.1444,                0.90154,                 0.8404,                0.90599,                0.72979,                0.81195,                0.60621,                 1.2759,              0.0002575,              0.0002575,              0.0002575
                     77,                0.67162,                0.49808,                 1.1404,                0.89195,                0.85772,                0.90091,                0.72566,                0.80804,                0.61129,                 1.2753,              0.0002476,              0.0002476,              0.0002476
                     78,                0.66039,                0.48669,                  1.136,                0.87196,                0.86839,                0.90054,                0.72386,                0.81944,                0.60125,                 1.2834,              0.0002377,              0.0002377,              0.0002377
                     79,                0.65992,                0.48938,                 1.1357,                0.89861,                0.82603,                0.90434,                0.72488,                 0.8251,                0.61766,                 1.2882,              0.0002278,              0.0002278,              0.0002278
                     80,                0.66272,                0.48398,                 1.1356,                0.90517,                0.83855,                0.89875,                 0.7245,                0.81645,                0.63232,                 1.2811,              0.0002179,              0.0002179,              0.0002179
                     81,                0.64944,                0.48156,                 1.1265,                0.87588,                0.85667,                0.90888,                0.73177,                0.82819,                0.63068,                 1.2864,               0.000208,               0.000208,               0.000208
                     82,                0.64814,                0.47973,                  1.128,                0.90642,                0.83216,                0.90178,                 0.7249,                0.83574,                0.64429,                 1.2956,              0.0001981,              0.0001981,              0.0001981
                     83,                0.64006,                0.47717,                 1.1254,                0.87156,                 0.8725,                0.90684,                0.72397,                 0.8294,                0.60812,                 1.2902,              0.0001882,              0.0001882,              0.0001882
                     84,                 0.6349,                0.47266,                 1.1235,                0.87546,                0.86725,                0.90368,                0.72081,                0.82753,                 0.6269,                 1.2932,              0.0001783,              0.0001783,              0.0001783
